name,number,material,thickness,length,width,bend_nums,radius,tool_exchange,side,schroder,henra,special,weight
Ramię dyszla,20.50.121.01.13,CZARNA,4,2095,252.82,4,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,16.63
Ramię dyszla,20.50.121.01.23,CZARNA,4,2095,252.82,4,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,16.63
Docisk,20.50.360.01.04,OCYNK,2.5,130,65,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.17
Zaczep,20.55.001.03.07,CZARNA,4,35,44.1,2,4,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Kątownik mocowania linki,20.55.120.01.04,OCYNK,2.5,30,80,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Podstawa,20.55.380.01.10,CZARNA,3,168,578,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.29
Blacha,20.55.380.01.20,CZARNA,3,400,178,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.68
Zaczep,20.55.380.01.30,CZARNA,5,22,53.62,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Zapinacz,20.55.380.02.10,CZARNA,15,15,90,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.16
Belka boczna lewa,203.100.03.10,OCYNK,2.5,3210,283.8,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,17.88
Belka boczna prawa,203.100.03.20,OCYNK,2.5,3210,283.8,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,17.88
Podłużnica lewa,203.100.04.10,OCYNK,3,3200,289.7,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,21.83
Podłużnica lewa,203.100.04.20,OCYNK,3,3200,289.7,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,21.83
Ceownik relingu,203.510.01.02,OCYNK,1,1641,137.8,6,1.5,FAŁSZ,FAŁSZ,PRAWDA,FAŁSZ,FAŁSZ,1.77
Ceownik relingu,204.510.01.02,OCYNK,1,2262,137.8,6,1.5,FAŁSZ,FAŁSZ,PRAWDA,FAŁSZ,FAŁSZ,2.45
Dystans lampy,205.100.00.01,OCYNK,1.5,135,280,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.45
Belka przednia,205.100.00.02,OCYNK,2.5,2087,389.7,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,15.96
Narożnik ramy przedni,205.100.00.10,OCYNK,4,235,204.6,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.51
Narożnik ramy przedni,205.100.00.20,OCYNK,4,235,204.6,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.51
Belka boczna Lewa,205.100.001L,OCYNK,2.5,4010,283.8,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,22.33
Belka boczna Prawa,205.100.001P,OCYNK,2.5,4010,283.8,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,22.33
Podłużnica,205.100.003L,OCYNK,3,4000,289.7,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,27.29
Podłużnica,205.100.003P,OCYNK,3,4000,289.7,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,27.29
Poprzeczka,205.100.004,OCYNK,2,2144,128,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.31
Prowadnica najazdu,205.100.005,OCYNK,2,2535,158,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.29
Ceownik,205.100.006,OCYNK,1,742,144.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.84
Tablica,205.100.008,OCYNK,2.5,2140,427.3,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,17.95
Wzmocnienie belki przedniej,205.100.009,OCYNK,2.5,205,340,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.37
Belka przednia,205.100.010,OCYNK,2.5,2087,389.3,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,15.94
